chain_name;wallet_address;transaction_type;transaction_status;sent_amount;transaction_url;date;error
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.0001;https://testnet.bscscan.com/tx/0x1c2c2bf29e6cc21a64d4c35a0c36e6f7ac28c800706229fb25fdba39ca88c6e2;14-11-2023;-
Binance Smart Chain;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.00022857142857142857;https://testnet.bscscan.com/tx/0xebaafe6e4ea1cf8215d5b6056812ea9d3ca62a8ab5c5a3a38eb9d1bb882a42e4;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.00019183673469387756;https://mumbai.polygonscan.com/tx/0x1ad288e0cef4b72be5f2db041f1cbe7a6a22ec8248856552256798dbb242b60d;14-11-2023;-
Polygon;0xAc64062A39172ef043DC68bdAC0e8a94FC19042e;SELF-transaction;SUCCESS;0.000889795918367347;https://mumbai.polygonscan.com/tx/0xa23fcdd1dc10c60afc8cd941566191d7d9122de0a2960b17f17b9b141d180d79;14-11-2023;-
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.0002653061224489796;https://testnet.bscscan.com/tx/0x77beb923c57228c831e4e87a53dbd42bbe558951a8aad7640e8ebdff4f54f87a;14-11-2023;-
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0002469387755102041;https://testnet.bscscan.com/tx/0x492688722d83fc72a7c60deb38c1077df83d7b2bd1bb1c9f503a5ce44e5cc9f1;14-11-2023;-
Binance Smart Chain;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;ERROR;0.0005040816326530613;-;14-11-2023;{'code': -32000, 'message': 'replacement transaction underpriced'}
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;RANDOM-transaction;SUCCESS;0.0005224489795918368;https://mumbai.polygonscan.com/tx/0xa7ad157ef12d6f48d57f0d0a7af5b4dbda85c6c89e4b5205057c0b0a2cc81a99;14-11-2023;-
Polygon;0xd9594eeD6a297D7c8DA4887b5A204c539E4fA0f7;SELF-transaction;SUCCESS;0.0002469387755102041;https://mumbai.polygonscan.com/tx/0x3f38a953209e16f5ac67ef42d45998e2465750dafe2320de461f816c85e6d3ae;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.0003755102040816327;https://testnet.bscscan.com/tx/0x0b2d32ac77af147c27af09a904093e0af839832fcfdca293917e941cb99d9a1d;14-11-2023;-
Binance Smart Chain;0x1364aa030fF4F4a683B8E07471b70b4627d03476;RANDOM-transaction;SUCCESS;0.0004857142857142857;https://testnet.bscscan.com/tx/0x72dc5198be91035dcfa820f8c98c28cd014a65a98dfa96946b6a55c06a3d09e3;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.0009816326530612245;https://mumbai.polygonscan.com/tx/0xa618a7faf519bbfeb09e2617feeb92b92776245cd509fc7a4570447b56a90c99;14-11-2023;-
Polygon;0x1364aa030fF4F4a683B8E07471b70b4627d03476;SELF-transaction;SUCCESS;0.0009265306122448981;https://mumbai.polygonscan.com/tx/0xffb0e47cea76190d724bf493dfc87fa7a6ee80e4029a6bf9b59d6546ca67628f;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.000816326530612245;https://testnet.bscscan.com/tx/0x656be0f0c79e038989ef8a016e71f797910499ddb87a80df1170591aacc3547b;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.0009816326530612245;https://testnet.bscscan.com/tx/0x8621ae43648106e1f1aaf116b1c326d30bc3f0a5dcdf357243968b409ee9bf4b;14-11-2023;-
Binance Smart Chain;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;RANDOM-transaction;SUCCESS;0.00039387755102040817;https://testnet.bscscan.com/tx/0x397ffdf2580d6e4b3c5a3b0982f5ff3ccfc61d97e4104c2d2f12f2b0ff74d595;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.0006693877551020409;https://mumbai.polygonscan.com/tx/0xb621bfa2dea22939352ede5fb2696d81896842b7a2a42980001b4e232d3f1f75;14-11-2023;-
Polygon;0x9edFF45fb47dd8eE43F2227eafE9345D3D30b63a;SELF-transaction;SUCCESS;0.00039387755102040817;https://mumbai.polygonscan.com/tx/0x0d6871429965e327a9e583833a76a41e54f5d973708a8862f6a496e9cc1cca08;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0005224489795918368;https://testnet.bscscan.com/tx/0x108d05a34bb328e1b42d6e683faf9b9d99c07a6a4c74e3333b5076a500110155;14-11-2023;-
Binance Smart Chain;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;RANDOM-transaction;SUCCESS;0.00011836734693877552;https://testnet.bscscan.com/tx/0xf720aba836ef55a5119d54e2f14960a40d20eda34efad5b99a95eb3a4c2e93bd;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.00046734693877551023;https://mumbai.polygonscan.com/tx/0xa06fe699b1e0cb3749ab8d3b17ae630c2d7185bcae73394ad78f4a42ad56dc96;14-11-2023;-
Polygon;0x3309821aa89b1D42fe8EACff2FA56CC8c5FA06FE;SELF-transaction;SUCCESS;0.0006510204081632654;https://mumbai.polygonscan.com/tx/0x8f747081e9a669bfc1a3c738a77f6ae87777d4e95e7b3ac2a144fb2f06a37f89;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.0004306122448979592;https://testnet.bscscan.com/tx/0x9f01edbdb7ffe16ee3305b373378bfb1918181995e6434365ceb291f9fcbf8f3;14-11-2023;-
Binance Smart Chain;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;SELF-transaction;SUCCESS;0.000742857142857143;https://testnet.bscscan.com/tx/0x1d53423beafe92464389995428a8afc67cddeb2d36975ac2a39d9a78e89b4a76;14-11-2023;-
Polygon;0xdf24026b19c60fCF9cD6145c237BD140EFe9f390;RANDOM-transaction;SUCCESS;0.0005408163265306123;https://mumbai.polygonscan.com/tx/0xd6d040c45dc0984c5814975adac2d0bf62148b260da35b0d8d2141af21b6c7f9;14-11-2023;-